@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute Instrument {0,1,2}
@attribute Pitch numeric

@data
1,'2018/02/16 00:06:45:760',3,0.601876,0.601876,0.601876,0.601876,0.601876,0.601876,0.601876,0.601876,1.403276,1.403276,1.403276,1.403276,1.403276,1.403276,1.403276,1.576641,1.576641,1.576641,1.576641,1.576641,1.41449,1.41449,1.41449,1.41449,1.035031,1.035031,1.035031,0.522706,0.522706,0.522706,0.157461,0.157461,0.374919,0.374919,0.2077,0.2077,0.33019,0.33019,0.507829,0.594777,0.594777,0.541952,0.400888,0.869988,1.625812,0.972302,2.173595,1.282851,10.284529,17.452969,21.455114,22.029224,17.235312,5.536307,2.077629,1.022368,0.577712,1.022727,1.013433,0.42656,0.957971,2.790701,13.858879,14.646896,3.530848,2.220948,1.352689,1.5918,1.272361,3.221648,5.615564,2.075196,0.303182,0.976802,1.576411,1.797835,0.507033,0.358953,0.779058,0.941601,0.816466,0.405441,0.253438,0.342407,0.292722,0.201723,0.306571,0.099813,0.095046,0.122668,0.242582,0.222978,0.434199,0.365684,0.399916,0.273794,0.376581,0.216339,0.145838,0.09936,0.105655,0.121878,0.060094,0.184927,1.777995,1,0.5
2,'2018/02/16 00:06:45:778',3,1.808917,1.808917,1.808917,1.808917,1.808917,1.808917,1.808917,1.808917,1.492691,1.492691,1.492691,1.492691,1.492691,1.492691,1.492691,1.154169,1.154169,1.154169,1.154169,1.154169,0.821125,0.821125,0.821125,0.821125,0.526788,0.526788,0.526788,0.281149,0.281149,0.281149,0.204065,0.204065,0.357739,0.357739,0.598723,0.598723,0.748393,0.748393,0.686452,0.600682,0.600682,0.427012,0.226438,0.226887,0.835159,0.160825,1.911673,0.391515,8.375998,15.290635,19.250637,19.866369,15.202976,4.493624,2.482447,0.409487,0.458603,0.151684,0.299031,0.189576,0.40056,2.102435,11.684155,12.263783,1.992072,0.294554,0.4361,0.193458,0.211655,3.039748,4.556691,0.275373,0.367884,0.659676,1.089724,2.240743,0.795268,1.54776,1.149007,1.031084,0.79263,0.533516,0.922864,0.498417,0.659579,0.647029,0.650565,0.214638,0.214723,0.248802,0.563505,0.205261,0.559663,0.636631,1.19703,0.602201,0.503853,0.473884,0.290908,0.242271,0.179989,0.212008,0.133684,0.343898,1.349143,1,0.5
3,'2018/02/16 00:06:45:793',3,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,1.082303,1.082303,1.082303,1.082303,1.082303,1.082303,1.082303,1.145117,1.145117,1.145117,1.145117,1.145117,0.956588,0.956588,0.956588,0.956588,0.609234,0.609234,0.609234,0.245352,0.245352,0.245352,0.274682,0.274682,0.500194,0.500194,0.56889,0.56889,0.537894,0.537894,0.389305,0.142264,0.142264,0.357359,0.698293,0.625375,0.791429,0.02345,1.799057,1.260964,9.056785,15.693089,19.491007,19.986311,15.363684,4.919285,1.100845,0.923286,0.331433,0.341048,0.271583,0.204808,0.165227,1.960302,10.974651,11.761203,2.008112,0.235656,0.309564,0.091045,0.162648,2.454525,3.60949,0.244447,0.636912,0.505239,1.062674,1.173898,0.942044,0.518098,0.330981,0.259571,0.225383,0.454904,0.387695,0.232538,0.25568,0.221004,0.140609,0.135798,0.081483,0.097521,0.116621,0.259934,0.34632,0.180413,0.230845,0.175821,0.232731,0.143464,0.092461,0.05166,0.062062,0.089249,0.048249,0.135323,1.295895,1,0.5
4,'2018/02/16 00:06:45:809',3,1.747979,1.747979,1.747979,1.747979,1.747979,1.747979,1.747979,1.747979,1.238198,1.238198,1.238198,1.238198,1.238198,1.238198,1.238198,0.785457,0.785457,0.785457,0.785457,0.785457,0.642809,0.642809,0.642809,0.642809,0.765313,0.765313,0.765313,0.786823,0.786823,0.786823,0.626657,0.626657,0.464953,0.464953,0.496849,0.496849,0.560577,0.560577,0.419513,0.205502,0.205502,0.260085,0.506039,0.325325,0.442154,0.411851,2.040991,0.145248,8.361155,15.015839,18.792496,19.202011,14.395197,3.944369,1.536084,0.533193,0.209181,0.170555,0.251796,0.089498,0.209587,1.971247,10.623194,10.687839,1.432969,0.142557,0.226465,0.126615,0.149037,3.025221,3.920713,0.273298,0.507815,0.674541,0.49849,1.379911,0.65234,0.874407,0.996176,0.454379,0.832529,0.339819,0.408742,0.358112,0.162219,0.26366,0.478984,0.178616,0.166303,0.11806,0.210685,0.163368,0.490326,0.26008,0.562271,0.311575,0.422463,0.196415,0.162602,0.17862,0.115972,0.215418,0.196621,0.256361,1.223661,1,0.5
5,'2018/02/16 00:06:45:826',3,0.608571,0.608571,0.608571,0.608571,0.608571,0.608571,0.608571,0.608571,0.833563,0.833563,0.833563,0.833563,0.833563,0.833563,0.833563,0.704261,0.704261,0.704261,0.704261,0.704261,0.475692,0.475692,0.475692,0.475692,0.458854,0.458854,0.458854,0.40917,0.40917,0.40917,0.197768,0.197768,0.24146,0.24146,0.288288,0.288288,0.20921,0.20921,0.263022,0.413859,0.413859,0.464822,0.558084,0.220436,0.456756,0.241675,1.807802,0.406133,8.395173,14.897653,18.600584,18.942776,14.062606,4.010666,2.021107,0.330073,0.245314,0.167912,0.161726,0.083855,0.268836,1.644539,9.279419,9.053547,1.089272,0.23157,0.193539,0.359068,0.46068,2.865754,3.805714,0.304557,0.45276,0.468314,1.704828,1.958788,0.940492,0.919969,1.01839,0.740377,0.54376,0.393638,0.310012,0.323686,0.350264,0.307046,0.345047,0.115369,0.172278,0.10511,0.252863,0.401154,0.895523,0.403143,0.479857,0.583191,0.670657,0.287104,0.281479,0.1865,0.128071,0.269752,0.217281,0.347387,1.156961,1,0.5
6,'2018/02/16 00:06:45:843',3,2.339839,2.339839,2.339839,2.339839,2.339839,2.339839,2.339839,2.339839,1.346761,1.346761,1.346761,1.346761,1.346761,1.346761,1.346761,0.398277,0.398277,0.398277,0.398277,0.398277,0.270874,0.270874,0.270874,0.270874,0.193572,0.193572,0.193572,0.242305,0.242305,0.242305,0.343188,0.343188,0.209964,0.209964,0.103555,0.103555,0.092828,0.092828,0.044567,0.225246,0.225246,0.244811,0.27911,0.731837,1.258416,0.472518,1.412152,1.09891,8.973584,15.397358,19.053543,19.36352,14.485052,4.023938,1.77413,0.286034,0.288836,0.182413,0.105832,0.153886,0.177624,1.540033,8.45471,8.05037,0.918488,0.14037,0.129799,0.434008,0.378695,3.299027,4.012868,0.582042,0.623884,0.70696,0.819563,1.832494,1.171679,1.278665,0.858236,2.1209,1.029207,0.460009,0.842668,0.392626,0.632061,0.259612,0.253282,0.135631,0.166991,0.358252,0.28754,0.299997,0.703007,0.881097,0.798768,0.42774,0.54785,0.349958,0.345326,0.103716,0.089709,0.229612,0.175787,0.26242,1.193213,1,0.5
7,'2018/02/16 00:06:45:860',3,0.122275,0.122275,0.122275,0.122275,0.122275,0.122275,0.122275,0.122275,0.210215,0.210215,0.210215,0.210215,0.210215,0.210215,0.210215,0.246177,0.246177,0.246177,0.246177,0.246177,0.251992,0.251992,0.251992,0.251992,0.178924,0.178924,0.178924,0.219217,0.219217,0.219217,0.28599,0.28599,0.330816,0.330816,0.338996,0.338996,0.33822,0.33822,0.388912,0.38479,0.38479,0.252952,0.456523,0.121193,0.5811,0.251355,1.851436,0.849919,9.086406,15.542339,19.166409,19.407482,14.449206,4.043085,1.780428,0.305866,0.084066,0.15141,0.101325,0.014847,0.182765,1.123761,6.640712,6.205369,0.6235,0.218501,0.233465,0.385974,0.487085,3.504484,3.924754,0.954644,0.296202,0.771138,1.176679,2.117066,1.014067,0.852677,2.289935,2.461309,0.607176,0.558377,0.580361,0.331347,1.358111,0.359547,0.273311,0.167289,0.299626,0.477739,0.276905,0.723946,1.206194,0.830611,0.708756,0.644242,0.502878,0.601784,0.347846,0.152979,0.106182,0.175609,0.140701,0.337833,1.186568,1,0.5
8,'2018/02/16 00:06:45:876',3,0.946003,0.946003,0.946003,0.946003,0.946003,0.946003,0.946003,0.946003,0.46113,0.46113,0.46113,0.46113,0.46113,0.46113,0.46113,0.10559,0.10559,0.10559,0.10559,0.10559,0.086487,0.086487,0.086487,0.086487,0.087612,0.087612,0.087612,0.25833,0.25833,0.25833,0.610679,0.610679,0.842403,0.842403,0.776848,0.776848,0.583287,0.583287,0.551816,0.540016,0.540016,0.189835,0.294473,0.252948,0.567816,0.360879,1.768077,1.08647,9.268107,15.700927,19.333141,19.615906,14.746356,3.986649,1.333523,0.563378,0.146677,0.07704,0.119061,0.078878,0.105564,1.06427,6.568277,6.656673,0.7131,0.157781,0.092066,0.486122,0.384322,3.788167,4.380826,0.49902,0.39098,0.235713,0.887392,1.226167,0.390091,1.040128,0.303816,0.568991,0.551696,0.355525,0.735914,0.433772,0.321366,0.22365,0.266878,0.128325,0.114721,0.17722,0.269273,0.471822,0.699602,0.383323,0.286937,0.402652,0.389904,0.236689,0.19861,0.201451,0.103418,0.145612,0.078462,0.212419,1.207068,1,0.5
9,'2018/02/16 00:06:45:893',3,0.618411,0.618411,0.618411,0.618411,0.618411,0.618411,0.618411,0.618411,0.609089,0.609089,0.609089,0.609089,0.609089,0.609089,0.609089,0.679973,0.679973,0.679973,0.679973,0.679973,0.595582,0.595582,0.595582,0.595582,0.23881,0.23881,0.23881,0.248701,0.248701,0.248701,0.532308,0.532308,0.581825,0.581825,0.486098,0.486098,0.331204,0.331204,0.21008,0.18582,0.18582,0.18121,0.419022,0.098109,0.631981,0.188829,1.944321,0.242933,8.474662,15.102057,18.857738,19.260487,14.506392,4.225497,1.314365,0.536981,0.201806,0.099202,0.149155,0.124,0.171597,0.985312,6.138647,6.59949,0.929608,0.401864,0.21825,0.296389,0.351435,3.557418,4.465569,0.278813,0.531649,0.810536,1.950661,1.741311,2.225785,1.621951,2.072184,2.717679,2.537,0.688472,0.732483,0.897347,0.994288,0.470508,0.286021,0.114943,0.133191,0.49437,0.42259,0.439575,0.804591,1.020471,1.193087,0.747829,0.572876,0.411227,0.505885,0.187283,0.143999,0.263574,0.20163,0.366555,1.160745,1,0.5
10,'2018/02/16 00:06:45:910',3,0.718736,0.718736,0.718736,0.718736,0.718736,0.718736,0.718736,0.718736,0.806964,0.806964,0.806964,0.806964,0.806964,0.806964,0.806964,0.830871,0.830871,0.830871,0.830871,0.830871,0.782871,0.782871,0.782871,0.782871,0.657777,0.657777,0.657777,0.498818,0.498818,0.498818,0.353752,0.353752,0.320526,0.320526,0.256374,0.256374,0.118114,0.118114,0.078793,0.047409,0.047409,0.326296,0.611,0.205462,0.577582,0.042758,1.63009,0.723491,8.647754,15.132116,18.833521,19.201057,14.396441,4.012175,1.776169,0.296624,0.119341,0.138321,0.088849,0.033611,0.143102,0.902406,6.325974,6.960944,0.854953,0.133475,0.165999,0.252317,0.889748,3.649799,4.582488,0.71758,0.30327,0.332935,1.360553,1.167064,0.41994,0.611019,0.827682,0.47785,0.372061,0.273591,0.653915,0.209503,0.422609,0.224746,0.352009,0.160128,0.107992,0.192185,0.18106,0.320988,0.413474,0.320439,0.305287,0.31714,0.286871,0.226956,0.171375,0.111859,0.101496,0.103151,0.091823,0.220715,1.15381,1,0.5
11,'2018/02/16 00:06:45:926',3,0.233739,0.233739,0.233739,0.233739,0.233739,0.233739,0.233739,0.233739,0.390475,0.390475,0.390475,0.390475,0.390475,0.390475,0.390475,0.363707,0.363707,0.363707,0.363707,0.363707,0.216011,0.216011,0.216011,0.216011,0.189516,0.189516,0.189516,0.276853,0.276853,0.276853,0.272359,0.272359,0.299948,0.299948,0.284996,0.284996,0.220708,0.220708,0.178913,0.278903,0.278903,0.293443,0.379902,0.547272,0.975262,0.586458,1.492651,0.632493,8.230581,14.618279,18.317705,18.739643,14.04766,4.053818,1.658327,0.283054,0.262451,0.119619,0.124516,0.177748,0.226432,1.116153,6.887147,7.59341,1.115099,0.294599,0.339528,0.343231,0.481098,3.326825,3.781732,1.018511,1.111074,0.419635,0.831059,1.695169,0.954629,2.515738,1.110776,1.502864,1.097377,0.562843,0.641863,0.506874,0.868218,0.579732,0.727748,0.114844,0.25337,0.544326,0.740745,0.510446,1.002903,0.897814,1.093361,0.714697,0.508954,0.524209,0.381423,0.217395,0.164947,0.207108,0.130548,0.341003,1.084069,1,0.5
12,'2018/02/16 00:06:45:943',3,1.195243,1.195243,1.195243,1.195243,1.195243,1.195243,1.195243,1.195243,1.050349,1.050349,1.050349,1.050349,1.050349,1.050349,1.050349,0.608429,0.608429,0.608429,0.608429,0.608429,0.260551,0.260551,0.260551,0.260551,0.351247,0.351247,0.351247,0.384594,0.384594,0.384594,0.390192,0.390192,0.299263,0.299263,0.189624,0.189624,0.265445,0.265445,0.243169,0.146968,0.146968,0.246384,0.430533,0.187603,0.245214,0.401879,1.740039,0.369924,7.272369,13.524643,17.182924,17.612789,13.017967,3.550283,1.456228,0.249386,0.163324,0.161761,0.062755,0.129273,0.252393,1.875743,9.754807,10.038888,1.435294,0.155354,0.149605,0.128725,0.364078,2.723217,3.982294,0.19178,0.188827,0.577187,1.095213,1.237012,0.948728,1.397822,1.434272,1.681979,0.463201,0.243994,0.386428,0.206058,0.429873,0.295099,0.468501,0.207379,0.189114,0.305612,0.235141,0.337459,0.825481,0.583712,0.534547,0.296322,0.425965,0.305227,0.212699,0.100717,0.086911,0.197778,0.152463,0.31093,0.983388,1,0.5
13,'2018/02/16 00:06:45:960',3,0.20347,0.20347,0.20347,0.20347,0.20347,0.20347,0.20347,0.20347,0.10051,0.10051,0.10051,0.10051,0.10051,0.10051,0.10051,0.195485,0.195485,0.195485,0.195485,0.195485,0.306505,0.306505,0.306505,0.306505,0.349922,0.349922,0.349922,0.348928,0.348928,0.348928,0.36843,0.36843,0.382041,0.382041,0.24226,0.24226,0.055899,0.055899,0.119585,0.115183,0.115183,0.26808,0.432036,0.109018,0.442359,0.062749,1.327808,0.574264,7.522829,13.635509,17.23732,17.649004,13.08713,3.412078,1.349791,0.199332,0.30472,0.076896,0.060891,0.0947,0.134458,1.832375,10.157358,10.354022,1.259291,0.255847,0.280539,0.188289,0.332956,2.966418,3.352894,0.227524,0.269401,0.797363,1.437078,1.905085,0.599993,1.051588,0.943583,1.282486,1.035128,0.574959,0.904517,0.630768,0.430447,0.315629,0.33103,0.17348,0.103439,0.306512,0.248108,0.334752,0.71794,0.640609,1.196661,0.867245,0.414239,0.364989,0.389935,0.130934,0.146458,0.168697,0.113124,0.325095,1.012577,1,0.5
14,'2018/02/16 00:06:45:976',3,1.759983,1.759983,1.759983,1.759983,1.759983,1.759983,1.759983,1.759983,1.36271,1.36271,1.36271,1.36271,1.36271,1.36271,1.36271,0.902435,0.902435,0.902435,0.902435,0.902435,0.501508,0.501508,0.501508,0.501508,0.298377,0.298377,0.298377,0.207883,0.207883,0.207883,0.159309,0.159309,0.15012,0.15012,0.082249,0.082249,0.064199,0.064199,0.250368,0.44074,0.44074,0.388176,0.22754,0.444482,0.745391,0.211894,1.625606,0.526904,7.849537,14.001878,17.54324,17.825466,13.100398,3.467547,1.415157,0.276168,0.126418,0.263936,0.277177,0.157228,0.161209,1.899662,10.57103,10.777358,1.504806,0.709464,0.49465,0.168986,0.353028,2.257911,3.42017,0.901852,0.495448,0.35188,1.831673,1.669686,0.390318,0.74243,1.731855,3.334717,1.011618,0.54277,0.543757,0.556571,0.947534,0.622688,0.641416,0.21036,0.246883,0.581232,0.252091,0.442147,1.082848,0.552814,0.623542,0.654229,0.585853,0.690718,0.47825,0.17066,0.138695,0.16846,0.122881,0.211979,1.043027,1,0.5
15,'2018/02/16 00:06:45:993',3,0.959153,0.959153,0.959153,0.959153,0.959153,0.959153,0.959153,0.959153,0.877358,0.877358,0.877358,0.877358,0.877358,0.877358,0.877358,1.045979,1.045979,1.045979,1.045979,1.045979,1.015255,1.015255,1.015255,1.015255,0.753471,0.753471,0.753471,0.527442,0.527442,0.527442,0.358017,0.358017,0.240097,0.240097,0.234675,0.234675,0.19573,0.19573,0.196853,0.181386,0.181386,0.345248,0.633842,0.430851,0.33631,0.335034,1.602526,0.466638,7.671887,13.805581,17.347332,17.59952,12.784997,3.412401,1.438957,0.34527,0.124892,0.125943,0.062501,0.137231,0.232445,2.429945,11.264892,10.731575,1.315364,0.183999,0.135293,0.127965,0.18243,2.225364,2.774175,0.758286,0.753162,0.931772,1.356639,1.756678,1.09812,1.177235,0.571522,0.531662,0.587596,0.421187,0.461318,0.280415,0.537336,0.244248,0.175216,0.166294,0.116337,0.248088,0.248966,0.434496,0.602427,0.312351,0.516029,0.27921,0.310553,0.293114,0.203655,0.158211,0.114686,0.128516,0.11965,0.280233,1.030893,1,0.5
16,'2018/02/16 00:06:46:009',3,1.132364,1.132364,1.132364,1.132364,1.132364,1.132364,1.132364,1.132364,0.816506,0.816506,0.816506,0.816506,0.816506,0.816506,0.816506,0.499054,0.499054,0.499054,0.499054,0.499054,0.384001,0.384001,0.384001,0.384001,0.343022,0.343022,0.343022,0.249366,0.249366,0.249366,0.206084,0.206084,0.250275,0.250275,0.352905,0.352905,0.443824,0.443824,0.442499,0.402899,0.402899,0.125796,0.21908,0.182248,0.486909,0.349924,1.643587,0.717998,8.144906,14.294096,17.804289,17.998621,13.114655,3.499045,1.416847,0.308252,0.131772,0.107659,0.124381,0.191509,0.203409,2.29209,11.333824,11.018641,1.363715,0.309696,0.143383,0.072688,0.200785,2.453149,2.83057,0.469951,0.755405,0.951793,1.222322,1.513003,0.801618,1.814717,1.588565,2.215955,1.378337,0.732201,0.435659,0.494005,0.909069,0.417654,0.636487,0.171583,0.160104,0.542911,0.242847,0.516399,0.837078,0.769245,0.84385,0.586652,0.557314,0.391038,0.217731,0.165869,0.192194,0.151952,0.124685,0.350755,1.086687,1,0.5
17,'2018/02/16 00:06:46:026',3,0.79006,0.79006,0.79006,0.79006,0.79006,0.79006,0.79006,0.79006,0.853466,0.853466,0.853466,0.853466,0.853466,0.853466,0.853466,0.673603,0.673603,0.673603,0.673603,0.673603,0.506553,0.506553,0.506553,0.506553,0.378345,0.378345,0.378345,0.252315,0.252315,0.252315,0.178067,0.178067,0.13416,0.13416,0.165114,0.165114,0.254275,0.254275,0.19564,0.139494,0.139494,0.279955,0.42658,0.196562,0.597784,0.295694,1.468204,1.209962,8.518298,14.54103,17.951178,18.008968,12.966057,3.470271,1.431125,0.334327,0.187598,0.074515,0.061336,0.136935,0.284375,2.421088,11.506477,11.07209,1.352166,0.171196,0.144656,0.133495,0.132396,2.30278,2.726544,0.32046,0.147697,0.556568,1.25425,1.310689,1.082965,1.151389,0.400268,0.581278,0.628711,0.549478,0.829633,0.210101,0.316315,0.307094,0.256927,0.141824,0.116901,0.145472,0.300556,0.239618,0.394295,0.330743,0.393116,0.327549,0.277256,0.134234,0.221194,0.077785,0.065243,0.110986,0.097785,0.165348,1.08794,1,0.5
18,'2018/02/16 00:06:46:042',3,1.197905,1.197905,1.197905,1.197905,1.197905,1.197905,1.197905,1.197905,1.178702,1.178702,1.178702,1.178702,1.178702,1.178702,1.178702,0.954247,0.954247,0.954247,0.954247,0.954247,0.597048,0.597048,0.597048,0.597048,0.334584,0.334584,0.334584,0.342985,0.342985,0.342985,0.324623,0.324623,0.242217,0.242217,0.209344,0.209344,0.253182,0.253182,0.460882,0.597918,0.597918,0.411065,0.262862,0.398478,0.723215,0.140737,1.578792,1.046089,8.615397,14.722218,18.159309,18.231403,13.199819,3.512781,1.363419,0.441634,0.076518,0.23409,0.118782,0.204927,0.341105,2.532364,11.86327,11.321242,1.366832,0.219779,0.225109,0.121403,0.103104,2.512507,2.431279,0.648062,0.369787,0.311669,1.440128,1.514407,1.124846,0.874915,0.567071,0.666985,0.625118,0.359682,0.421001,0.284675,0.225204,0.279917,0.257155,0.113433,0.116344,0.173796,0.199081,0.52135,0.623189,0.436667,0.316989,0.366431,0.363634,0.289903,0.177142,0.074677,0.067352,0.121404,0.110131,0.219612,1.116318,1,0.5
19,'2018/02/16 00:06:46:060',3,0.272605,0.272605,0.272605,0.272605,0.272605,0.272605,0.272605,0.272605,0.546649,0.546649,0.546649,0.546649,0.546649,0.546649,0.546649,0.661666,0.661666,0.661666,0.661666,0.661666,0.632089,0.632089,0.632089,0.632089,0.443861,0.443861,0.443861,0.208012,0.208012,0.208012,0.16576,0.16576,0.234949,0.234949,0.242481,0.242481,0.273526,0.273526,0.482752,0.588171,0.588171,0.318547,0.234159,0.117637,0.372386,0.565012,1.957291,0.738583,8.67596,14.919601,18.407406,18.50885,13.487791,3.583362,1.356936,0.304001,0.27163,0.075113,0.144979,0.150794,0.211329,2.486876,11.683826,11.166371,1.338301,0.204153,0.162013,0.111071,0.178452,2.328791,2.417865,0.986197,0.446866,0.181691,1.050125,0.993266,0.416195,0.543585,0.284011,0.42244,0.308218,0.309504,0.18995,0.258135,0.311576,0.188867,0.317311,0.176028,0.140888,0.125945,0.117245,0.495999,0.675894,0.297512,0.323354,0.394123,0.255014,0.182237,0.185088,0.084063,0.071886,0.121912,0.100169,0.234869,1.159513,1,0.5
20,'2018/02/16 00:06:46:076',3,0.243314,0.243314,0.243314,0.243314,0.243314,0.243314,0.243314,0.243314,0.420976,0.420976,0.420976,0.420976,0.420976,0.420976,0.420976,0.453324,0.453324,0.453324,0.453324,0.453324,0.590255,0.590255,0.590255,0.590255,0.665491,0.665491,0.665491,0.611129,0.611129,0.611129,0.480863,0.480863,0.28614,0.28614,0.043786,0.043786,0.158314,0.158314,0.383775,0.549845,0.549845,0.312923,0.240846,0.080783,0.319134,0.590705,2.01224,0.754913,8.68229,14.994955,18.518843,18.63394,13.586479,3.653007,1.446267,0.372525,0.129174,0.098687,0.058252,0.151501,0.262988,2.503936,11.295506,10.689338,1.187892,0.263647,0.314702,0.551661,0.479803,2.379241,2.803375,0.620457,0.076089,0.222087,1.082571,2.420801,1.716565,1.385421,1.221261,1.105879,0.482922,0.459058,0.506276,0.95775,0.631808,0.692753,0.64852,0.218353,0.172699,0.215955,0.340815,0.523132,1.02018,0.934929,1.29962,0.808309,0.416839,0.39602,0.374465,0.134165,0.179062,0.13721,0.137679,0.270299,1.146819,1,0.5
21,'2018/02/16 00:06:46:093',3,0.770373,0.770373,0.770373,0.770373,0.770373,0.770373,0.770373,0.770373,0.503588,0.503588,0.503588,0.503588,0.503588,0.503588,0.503588,0.305271,0.305271,0.305271,0.305271,0.305271,0.194245,0.194245,0.194245,0.194245,0.155401,0.155401,0.155401,0.169009,0.169009,0.169009,0.134438,0.134438,0.07263,0.07263,0.144901,0.144901,0.206531,0.206531,0.270922,0.507513,0.507513,0.430472,0.242738,0.501958,0.93389,0.054207,1.804321,0.880652,9.080203,15.468146,19.019243,19.134075,14.018429,3.881801,1.648934,0.423151,0.13226,0.2051,0.059636,0.106694,0.270383,2.122458,10.322906,9.664312,1.038673,0.147583,0.137946,0.423031,0.54551,3.289446,3.547614,0.465278,0.360433,0.71112,1.811703,1.359297,1.06939,2.370321,1.245314,0.546646,1.025177,0.54787,0.490791,0.663789,0.461427,0.308887,0.436456,0.251216,0.179481,0.281593,0.446227,0.476167,0.520927,0.769518,0.547429,0.253968,0.579223,0.380703,0.342039,0.175077,0.075758,0.133484,0.099079,0.270495,1.206086,1,0.5
